Street,Irregularities Length (meters),Irregularities Time Spent (seconds),Irregularities Speed (Km/h),K-Means
Pahlawan (Jalur Lambat),566.0,534.0,3.81,0
Pajajaran,1067.0,577.0,7.07,2
Palasari,773.0,597.75,4.6875,0
Panghegar,638.0,658.0,3.48,0
Papanggungan,530.0,682.0,2.79,0
Parakan Saat,565.0,637.0,3.23,0
Pasir Impun,673.0,725.0,3.33,0
Pasirmuncang,673.0,893.0,2.505,3
Paskal HyperSquare,774.5,1000.0,3.08,3
Pasteur,706.0,563.0,4.36,0
Patrakomala,674.0,863.25,3.19999985,3
Pelajar Pejuang 45,797.0,438.5,5.79,2
Perintis,661.0,528.0,4.5,0
Peta,956.5,529.5,6.61,2
Prof Dr Ir Sutami,1136.0,612.0,7.13,2
Prof Dr Surya Sumantri,1032.0,741.5,5.41,2
Prof Mochtar Kusumaatmadja,1573.0,729.0,8.0225,1
R A A Martanegara,905.0,615.5,4.5699997,0
RA Wiranatakusumah,1576.0,910.0,6.15,1
Rajawali Timur,809.0,487.5,5.0,2
Rancabolang,838.5,750.5,4.01,0
Sadang Serang,552.0,708.0,2.8,0
Sariasih,543.0,448.0,4.35,0
Sarijadi,660.0,674.0,3.825,0
Sederhana,590.0,610.5,3.6724999,0
Sekejati,693.0,629.0,4.22,0
Sersan Bajuri,789.0,708.5,4.5699997,0
Siliwangi,817.0,434.0,6.77,2
Sirnamanah,545.0,818.0,2.39,3
Soekarno-Hatta,634.0,644.0,3.53,0
Soekarno-Hatta (Jalur Lambat),1742.0,696.0,8.975000000000001,1
Sriwijaya,771.5,456.0,7.012500000000001,2
Sukahaji,711.0,717.0,3.755,0
Sukajadi,2435.0,1065.0,7.74,1
Sukaraja,575.0,679.0,3.04,0
Suparmin,571.0,553.5,4.0975,0
Surapati,1764.5,719.0,8.39,1
Suryalaya,507.0,606.0,3.005,0
Talaga Bodas,517.0,644.0,3.04,0
Taman Cibeunying Kidul,581.0,931.0,2.24,3
Tamansari,1755.0,688.0,8.04,1
Terusan Buah Batu,1719.0,793.0,8.36,1
Terusan Cibaduyut,545.0,783.0,2.5,3
Terusan Cisaranten Kulon,722.5,604.75,4.225,0
Terusan Gegerkalong Hilir,586.0,1086.0,1.94,3
Terusan Jakarta,1841.0,760.5,8.92,1
Terusan Kiaracondong,807.0,603.0,4.74,0
Terusan Pasir Koja,869.0,731.0,4.24,0
Tol Padaleunyi,1519.0,533.0,10.87,1
Tol Pasir Koja,1364.0,1339.0,3.66,3
Tol Pasteur,2451.0,538.5,11.99,1
Tongkeng,519.0,726.0,2.57,0
Trunojoyo,621.0,310.0,7.2,2
Tubagus Ismail,1001.0,616.0,5.445,2
Veteran,789.0,661.5,4.23,0
WR Supratman,1340.0,596.0,7.58,1
Wastukencana,660.0,282.0,8.41,2
